phase,episode,global_step,snapshot_name,expected_case,local_load,neighbor_load,scenario_local_load,scenario_neighbor_load,local_ue_count,neighbor_ue_count,local_bias,neighbor_bias,mean_raw_action,mean_applied_offset,mean_desired_offset,mean_tracking_error,handover_attempts,handover_successes,handover_failures,handover_ping_pongs,episode_return,expected_case_eMBB,local_load_eMBB,neighbor_load_eMBB,scenario_local_load_eMBB,scenario_neighbor_load_eMBB,local_ue_count_eMBB,neighbor_ue_count_eMBB,local_bias_eMBB,neighbor_bias_eMBB,mean_raw_action_eMBB,mean_applied_offset_eMBB,mean_desired_offset_eMBB,mean_tracking_error_eMBB,expected_case_URLLC,local_load_URLLC,neighbor_load_URLLC,scenario_local_load_URLLC,scenario_neighbor_load_URLLC,local_ue_count_URLLC,neighbor_ue_count_URLLC,local_bias_URLLC,neighbor_bias_URLLC,mean_raw_action_URLLC,mean_applied_offset_URLLC,mean_desired_offset_URLLC,mean_tracking_error_URLLC,expected_case_mMTC,local_load_mMTC,neighbor_load_mMTC,scenario_local_load_mMTC,scenario_neighbor_load_mMTC,local_ue_count_mMTC,neighbor_ue_count_mMTC,local_bias_mMTC,neighbor_bias_mMTC,mean_raw_action_mMTC,mean_applied_offset_mMTC,mean_desired_offset_mMTC,mean_tracking_error_mMTC
train,0,40,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.5617647058823529,0.8558823529411764,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.8646829187870025,-0.9,-0.36438779940899824,-0.5356122005910018,0,0,0,0,-35.98202908039093,neutral,0.5617647058823529,0.8558823529411764,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.8646829187870025,-0.9,-0.36438779940899824,-0.5356122005910018,offload,0.9893939393939395,0.30454545454545456,0.8787878787878787,0.18181818181818182,4.0,1.0,-1.0,1.0,0.2166243851184845,-0.3,-6.0,5.7,retain,0.4136363636363637,0.9704545454545453,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,0.877785861492157,1.0,5.4,-4.4
train,1,80,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.7573529411764707,0.39264705882352946,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.26309645771980283,-0.45,0.0974170100027138,-0.5474170100027138,1,1,0,0,-45.07582688331604,neutral,0.7573529411764707,0.39264705882352946,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.26309645771980283,-0.45,0.0974170100027138,-0.5474170100027138,offload,0.9924242424242425,0.7174242424242424,0.8787878787878787,0.18181818181818182,3.35,1.65,-1.0,1.0,0.7867068827152253,1.05,-5.97375,7.0237500000000015,retain,0.25303030303030305,0.9560606060606063,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,-0.017527294158935548,-0.2,5.4,-5.6
train,2,120,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.2852941176470588,0.9647058823529413,0.5588235294117647,0.5,1.075,2.925,0.0,0.0,-0.10196142196655274,0.25,-0.1659450542916412,0.4159450542916412,1,1,0,0,-57.278393507003784,neutral,0.2852941176470588,0.9647058823529413,0.5588235294117647,0.5,1.075,2.925,0.0,0.0,-0.10196142196655274,0.25,-0.1659450542916412,0.4159450542916412,offload,1.0,0.5272727272727272,0.8787878787878787,0.18181818181818182,4.0,1.0,-1.0,1.0,-0.4459987163543701,-0.3,-6.0,5.7,retain,0.2878787878787879,0.9045454545454547,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,-0.4765639781951904,-0.95,5.4,-6.35
train,3,160,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.8735294117647058,0.6823529411764706,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.21723071336746216,-0.45,-0.45017187663116565,0.00017187663116566832,0,0,0,0,-48.795404732227325,neutral,0.8735294117647058,0.6823529411764706,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.21723071336746216,-0.45,-0.45017187663116565,0.00017187663116566832,offload,1.0,0.6007575757575758,0.8787878787878787,0.18181818181818182,4.0,1.0,-1.0,1.0,0.5263679504394532,0.6,-6.0,6.6,retain,0.22727272727272724,0.9886363636363636,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,0.5107032120227813,1.1,5.4,-4.3
train,4,200,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.8558823529411764,0.725,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,0.048324817419052125,-0.3,-0.383643743310271,0.08364374331027107,1,1,0,0,-57.44006186723709,neutral,0.8558823529411764,0.725,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,0.048324817419052125,-0.3,-0.383643743310271,0.08364374331027107,offload,0.975,0.6772727272727272,0.8787878787878787,0.18181818181818182,3.45,1.55,-1.0,1.0,0.3981595396995544,0.05,-5.99625,6.04625,retain,0.2621212121212121,0.9416666666666667,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,-0.5446567356586456,-0.4,5.4,-5.8
train,5,240,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.6852941176470588,0.6852941176470588,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.6591330409049988,-1.25,-0.6191577564425719,-0.6308422435574282,0,0,0,0,-45.55433166027069,neutral,0.6852941176470588,0.6852941176470588,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.6591330409049988,-1.25,-0.6191577564425719,-0.6308422435574282,offload,0.9924242424242424,0.47727272727272724,0.8787878787878787,0.18181818181818182,4.0,1.0,-1.0,1.0,0.5086313545703888,1.15,-6.0,7.15,retain,0.4303030303030303,0.9931818181818182,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,-0.5350811600685119,-0.7,5.4,-6.1
train,6,280,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.6764705882352942,0.5441176470588235,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,0.2855414688587189,0.05,-0.3918219937364947,0.4418219937364946,1,1,0,0,-47.940026581287384,neutral,0.6764705882352942,0.5441176470588235,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,0.2855414688587189,0.05,-0.3918219937364947,0.4418219937364946,offload,1.0,0.296969696969697,0.8787878787878787,0.18181818181818182,4.0,1.0,-1.0,1.0,-0.9903897106647491,-0.9,-6.0,5.1,retain,0.2545454545454545,1.0,0.1,0.8787878787878787,0.55,4.45,1.0,-1.0,-0.5699032843112946,-0.9,5.445,-6.345000000000001
train,7,320,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.9647058823529413,0.3985294117647059,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.3445932388305664,-1.15,0.5609189951816637,-1.710918995181664,4,4,0,0,-17.737114518880844,neutral,0.9647058823529413,0.3985294117647059,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,-0.3445932388305664,-1.15,0.5609189951816637,-1.710918995181664,offload,0.22272727272727275,0.8840909090909091,0.1977272727272727,0.18181818181818182,0.725,4.275,0.05,1.0,-0.4363869786262512,-0.75,-2.8575000000000004,2.1075,retain,0.34393939393939393,0.6969696969696969,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,-0.30973716974258425,0.5,5.4,-4.9
train,8,360,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.6970588235294117,0.5558823529411765,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,0.9079504489898682,1.6,-0.23666755608082216,1.836667556080822,4,4,0,0,-36.09016028046608,neutral,0.6970588235294117,0.5558823529411765,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,0.9079504489898682,1.6,-0.23666755608082216,1.836667556080822,offload,0.65,0.8469696969696969,0.5712121212121212,0.18181818181818182,2.025,2.975,-0.95,1.0,-0.5478708982467652,-0.95,-5.85125,4.90125,retain,0.30833333333333335,0.8689393939393939,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,-0.4819982945919037,-0.45,5.4,-5.85
train,9,400,feasible_urllc_offload_mmtc_retain_embb_neutral,neutral,0.9367647058823529,0.5367647058823529,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,0.47443793416023256,0.5,-0.09649501460476169,0.5964950146047616,1,1,0,0,-54.17897981405258,neutral,0.9367647058823529,0.5367647058823529,0.5588235294117647,0.5,2.0,2.0,0.0,0.0,0.47443793416023256,0.5,-0.09649501460476169,0.5964950146047616,offload,0.9356060606060606,0.9590909090909092,0.8787878787878787,0.18181818181818182,3.025,1.975,-1.0,1.0,0.6352988660335541,0.65,-6.0,6.65,retain,0.3196969696969697,0.9712121212121211,0.18181818181818182,0.8787878787878787,1.0,4.0,1.0,-1.0,-0.7535548150539398,-0.7,5.4,-6.1
