step,episode,episode_step,reward,episode_return,done,scenario_name,load_variance,overload_ratio,sla_count,handover_count,load_imbalance_start,load_imbalance_end,instant_reward_mean,bias_matrix,load_matrix,ue_count_matrix
1,0,1,0.0,0.0,False,all_neutral,0.013059891847770635,0.3333333333333333,0.0,0,0.009444444444444443,0.013059891847770635,-1.7538189550611882,"[[0.6858869791030884, 0.18983319401741028, 0.9099052548408508], [-0.5037904381752014, 0.5020233392715454, 1.0], [-0.4409177899360657, -0.6745317578315735, -1.0]]","[[1.0, 0.24242424242424243, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
2,0,2,0.0,0.0,False,all_neutral,0.05223956739108254,0.3333333333333333,1.0,18,0.013059891847770635,0.05223956739108254,-0.3555044458386508,"[[-0.9053155183792114, 0.2846289873123169, 1.0], [0.5067000985145569, -1.0, 0.1308743953704834], [0.210463285446167, -1.0, 0.3867233097553253]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.48484848484848486, 0.0]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
3,0,3,-0.8189152479171753,-0.8189152479171753,True,all_neutral,0.053055810631568216,0.3333333333333333,0.0,12,0.05223956739108254,0.053055810631568216,-0.34742241324930406,"[[-0.7631324529647827, -0.2725098729133606, -0.1864275187253952], [-1.0, 0.004597578197717667, -0.35587844252586365], [-0.6412134766578674, -0.9743501543998718, 0.4353155493736267]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.42424242424242425, 0.24242424242424243]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
4,1,1,0.0,0.0,False,mmtc_g2_embb_g1_conflict,0.0,0.3333333333333333,0.0,0,0.16465747969365457,0.0,-3.342773799762744,"[[-0.4470363259315491, 0.06913670152425766, 0.12050601840019226], [0.47894471883773804, 0.4024326801300049, 0.8300661444664001], [-1.0, -1.0, 1.0]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]","[[3.0, 3.0, 2.0], [5.0, 3.0, 3.0], [2.0, 3.0, 5.0]]"
5,1,2,0.0,0.0,False,mmtc_g2_embb_g1_conflict,0.003264972961942659,0.3333333333333333,1.0,0,0.0,0.003264972961942659,-0.21886935380011632,"[[-0.01641136035323143, -0.5969952344894409, -0.15707948803901672], [0.12578897178173065, 1.0, 1.0], [-0.689670979976654, -0.08975482732057571, -0.25043028593063354]]","[[1.0, 0.12121212121212122, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]","[[3.0, 3.0, 2.0], [5.0, 3.0, 3.0], [2.0, 3.0, 5.0]]"
6,1,3,-2.5051636695861816,-2.5051636695861816,True,mmtc_g2_embb_g1_conflict,0.014692378328741968,0.3333333333333333,2.0,0,0.003264972961942659,0.014692378328741968,-0.6034074852871971,"[[-0.3866921663284302, -1.0, 1.0], [0.8868353962898254, 0.4124230742454529, -0.6595169901847839], [1.0, 0.47742828726768494, 0.6839900612831116]]","[[1.0, 0.18181818181818182, 0.0], [1.0, 0.0, 0.18181818181818182], [1.0, 0.0, 0.0]]","[[3.0, 3.0, 2.0], [5.0, 3.0, 3.0], [2.0, 3.0, 5.0]]"
7,2,1,0.0,0.0,False,all_offload_balancing,0.2507907356392205,0.7777777777777778,6.0,4,0.2460777429320996,0.2507907356392205,-10.911131298388753,"[[-0.45010045170783997, -0.5987384915351868, -0.18564936518669128], [0.03811291977763176, -0.3105902671813965, -0.7099085450172424], [-0.827246367931366, -1.0, -1.0]]","[[1.0, 0.9090909090909091, 1.0], [0.0, 1.0, 0.9696969696969697], [1.0, 0.6060606060606061, 1.0]]","[[3.0, 3.0, 3.0], [3.0, 4.0, 3.0], [4.0, 3.0, 4.0]]"
8,2,2,0.0,0.0,False,all_offload_balancing,0.4154049671507992,0.4444444444444444,4.0,4,0.2507907356392205,0.4154049671507992,-5.882466099066842,"[[-0.2245529145002365, -0.7752825021743774, -0.992827832698822], [0.2823915183544159, 0.010675766505300999, -0.8895276784896851], [0.37431541085243225, 1.0, -1.0]]","[[1.0, 0.8484848484848485, 0.0], [0.0, 1.0, 1.0], [0.5294117647058824, 0.6060606060606061, 1.0]]","[[5.0, 3.0, 3.0], [3.0, 4.0, 3.0], [2.0, 3.0, 4.0]]"
9,2,3,-6.240305423736572,-6.240305423736572,True,all_offload_balancing,0.6258545046423835,0.5555555555555556,2.0,6,0.4154049671507992,0.6258545046423835,-1.9273189857300241,"[[-0.0976133942604065, -1.0, 1.0], [-0.35417088866233826, -1.0, -0.389293372631073], [-0.5467860698699951, -0.49941715598106384, -0.3694908320903778]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 1.0], [1.0, 1.0, 0.24242424242424243]]","[[3.0, 2.0, 3.0], [3.0, 4.0, 3.0], [4.0, 4.0, 4.0]]"
10,3,1,0.0,0.0,False,mmtc_g2_embb_g1_conflict,0.13200969182934164,0.4444444444444444,4.0,2,0.16465747969365457,0.13200969182934164,-7.12283517607156,"[[-1.0, 0.09401504695415497, 0.4583876430988312], [-0.030366133898496628, -1.0, -0.5740213990211487], [0.42533615231513977, -0.9831918478012085, -0.03249320760369301]]","[[1.0, 0.0, 0.7272727272727273], [1.0, 0.06060606060606061, 1.0], [0.8235294117647058, 0.7272727272727273, 1.0]]","[[3.0, 3.0, 3.0], [4.0, 3.0, 3.0], [3.0, 3.0, 4.0]]"
11,3,2,0.0,0.0,False,mmtc_g2_embb_g1_conflict,0.008162432404856649,0.3333333333333333,3.0,0,0.13200969182934164,0.008162432404856649,-2.5366421619204016,"[[1.0, 0.07480781525373459, 0.02239150181412697], [-0.6656861305236816, 0.26364532113075256, 1.0], [0.7741842269897461, 0.5966713428497314, 1.0]]","[[1.0, 0.24242424242424243, 0.0], [1.0, 0.18181818181818182, 0.12121212121212122], [1.0, 0.36363636363636365, 0.06060606060606061]]","[[3.0, 3.0, 3.0], [4.0, 3.0, 3.0], [3.0, 3.0, 4.0]]"
12,3,3,-3.9800028800964355,-3.9800028800964355,True,mmtc_g2_embb_g1_conflict,0.04081216202428325,0.3333333333333333,3.0,0,0.008162432404856649,0.04081216202428325,-2.280531326144341,"[[0.8745003938674927, -0.583606481552124, 0.5011135339736938], [0.09049452841281891, 1.0, -0.31476306915283203], [0.43312525749206543, -0.05296669900417328, 1.0]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.42424242424242425, 0.06060606060606061]]","[[3.0, 3.0, 3.0], [4.0, 3.0, 3.0], [3.0, 3.0, 4.0]]"
13,4,1,0.0,0.0,False,mmtc_g2_embb_g1_conflict,0.3439017768471475,0.4444444444444444,5.0,4,0.16465747969365457,0.3439017768471475,-11.138416447833718,"[[0.814669132232666, -1.0, 1.0], [0.5353028178215027, -1.0, 0.7445909380912781], [0.7064110636711121, 0.16774511337280273, -0.6863989233970642]]","[[0.7647058823529411, 1.0, 0.9696969696969697], [1.0, 0.7878787878787878, 0.7272727272727273], [1.0, 0.06060606060606061, 0.0]]","[[3.0, 3.0, 4.0], [4.0, 3.0, 4.0], [3.0, 3.0, 2.0]]"
14,4,2,0.0,0.0,False,mmtc_g2_embb_g1_conflict,0.28719052395260847,0.4444444444444444,4.0,2,0.3439017768471475,0.28719052395260847,-5.258185278866819,"[[0.5193682909011841, -0.3405921459197998, -0.7094550728797913], [-0.06968522816896439, 1.0, -0.27358534932136536], [0.38733023405075073, -1.0, 0.02719789557158947]]","[[0.9411764705882353, 0.30303030303030304, 1.0], [0.8235294117647058, 0.8484848484848485, 1.0], [1.0, 0.36363636363636365, 0.0]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 4.0], [4.0, 3.0, 3.0]]"
15,4,3,-6.718209266662598,-6.718209266662598,True,mmtc_g2_embb_g1_conflict,0.3828180797877767,0.5555555555555556,3.0,0,0.28719052395260847,0.3828180797877767,-3.7580263882902214,"[[1.0, 0.07629110664129257, 1.0], [0.5668651461601257, 0.1442137211561203, 0.43506935238838196], [0.03231466934084892, 0.8773464560508728, -0.5740178823471069]]","[[1.0, 0.18181818181818182, 1.0], [1.0, 1.0, 0.8484848484848485], [1.0, 0.0, 0.0]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 4.0], [4.0, 3.0, 3.0]]"
16,5,1,0.0,0.0,False,mmtc_g2_offload,0.39279870107174286,0.4444444444444444,4.0,2,0.08142026323844505,0.39279870107174286,-7.328937329398979,"[[-1.0, 0.06954007595777512, -0.7756134271621704], [-1.0, -1.0, -0.09236147999763489], [1.0, 1.0, -1.0]]","[[1.0, 1.0, 0.5454545454545454], [0.0, 0.0, 1.0], [0.7058823529411765, 0.36363636363636365, 1.0]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 3.0], [3.0, 3.0, 3.0]]"
17,5,2,0.0,0.0,False,mmtc_g2_offload,0.13549637792062033,0.3333333333333333,3.0,1,0.39279870107174286,0.13549637792062033,-2.508347151591046,"[[1.0, 0.6798604726791382, -0.11300261318683624], [-0.13165543973445892, -1.0, 0.06389814615249634], [-1.0, 0.39481478929519653, 0.6272650361061096]]","[[1.0, 0.42424242424242425, 0.0], [1.0, 0.18181818181818182, 0.06060606060606061], [1.0, 0.8484848484848485, 0.5454545454545454]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 2.0], [3.0, 3.0, 4.0]]"
18,5,3,-3.883070468902588,-3.883070468902588,True,mmtc_g2_offload,0.05387205387205389,0.3333333333333333,3.0,0,0.13549637792062033,0.05387205387205389,-1.8119266501625826,"[[-1.0, -1.0, 0.019552338868379593], [-0.7297475934028625, -1.0, -1.0], [1.0, 0.5626779794692993, 0.7193472981452942]]","[[1.0, 0.18181818181818182, 0.0], [1.0, 0.0, 0.06060606060606061], [1.0, 0.0, 0.48484848484848486]]","[[3.0, 3.0, 3.0], [3.0, 3.0, 2.0], [3.0, 3.0, 4.0]]"
