step,episode,episode_step,reward,episode_return,done,scenario_name,load_variance,overload_ratio,sla_count,handover_count,load_imbalance_start,load_imbalance_end,instant_reward_mean,dense_window_reward,episode_terminal_reward,action_direction_reward,terminal_reward_only,use_progress_reward,overloaded_negative_fraction,light_nonnegative_fraction,bias_matrix,target_load_matrix,load_matrix,sla_matrix,ue_count_matrix,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,bias_g0_eMBB,bias_g0_URLLC,bias_g0_mMTC,bias_g1_eMBB,bias_g1_URLLC,bias_g1_mMTC,bias_g2_eMBB,bias_g2_URLLC,bias_g2_mMTC,target_load_g0_eMBB,target_load_g0_URLLC,target_load_g0_mMTC,target_load_g1_eMBB,target_load_g1_URLLC,target_load_g1_mMTC,target_load_g2_eMBB,target_load_g2_URLLC,target_load_g2_mMTC,load_g0_eMBB,load_g0_URLLC,load_g0_mMTC,load_g1_eMBB,load_g1_URLLC,load_g1_mMTC,load_g2_eMBB,load_g2_URLLC,load_g2_mMTC,sla_g0_eMBB,sla_g0_URLLC,sla_g0_mMTC,sla_g1_eMBB,sla_g1_URLLC,sla_g1_mMTC,sla_g2_eMBB,sla_g2_URLLC,sla_g2_mMTC,ue_count_g0_eMBB,ue_count_g0_URLLC,ue_count_g0_mMTC,ue_count_g1_eMBB,ue_count_g1_URLLC,ue_count_g1_mMTC,ue_count_g2_eMBB,ue_count_g2_URLLC,ue_count_g2_mMTC
1,0,1,-0.2682987451553345,-0.2682987451553345,True,all_offload_balancing,0.4444444444444445,0.3333333333333333,0.0,4,0.21851851851851856,0.4444444444444445,-1.6596532773322838,-1.6596532773322838,-0.2682987478906529,0.3277471396658156,True,False,0.3333333333333333,0.5,"[[0.6870764493942261, 0.19020995497703552, 0.9099779725074768], [-0.5033743381500244, 0.501396656036377, 1.0], [-0.4400990605354309, -0.6734233498573303, -1.0]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [1.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[5.0, 2.0, 3.0], [3.0, 5.0, 2.0], [2.0, 3.0, 5.0]]",0.6870764493942261,0.19020995497703552,0.9099779725074768,-0.5033743381500244,0.501396656036377,1.8605695962905884,-0.4400990605354309,-0.6734233498573303,-1.1443407535552979,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,0.6870764493942261,0.19020995497703552,0.9099779725074768,-0.5033743381500244,0.501396656036377,1.0,-0.4400990605354309,-0.6734233498573303,-1.0,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,3.0,5.0,2.0,2.0,3.0,5.0
2,1,1,-1.506142497062683,-1.506142497062683,True,all_offload_balancing,0.19873757673904469,0.7777777777777778,3.0,5,0.2460777429320996,0.19873757673904469,-3.1961262920276585,-3.1961262920276585,-1.5061424413566447,0.5860069791475931,True,False,0.42857142857142855,1.0,"[[-0.9141125082969666, 0.2843409478664398, 1.0], [0.5094398260116577, -1.0, 0.12716802954673767], [0.21000456809997559, -1.0, 0.3891548216342926]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.06060606060606061, 1.0], [0.8235294117647058, 0.9696969696969697, 1.0], [1.0, 1.0, 0.9090909090909091]]","[[0.0, 0.0, 0.0], [0.0, 0.12499999999999997, 0.0], [0.2719222636045005, 0.12499999999999997, 0.0]]","[[4.0, 2.0, 3.0], [3.0, 5.0, 2.0], [3.0, 3.0, 5.0]]",-0.9141125082969666,0.2843409478664398,1.6035784482955933,0.5094398260116577,-1.2205803394317627,0.12716802954673767,0.21000456809997559,-2.2797842025756836,0.3891548216342926,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,-0.9141125082969666,0.2843409478664398,1.0,0.5094398260116577,-1.0,0.12716802954673767,0.21000456809997559,-1.0,0.3891548216342926,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.06060606060606061,1.0,0.8235294117647058,0.9696969696969697,1.0,1.0,1.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.2719222636045005,0.12499999999999997,0.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,5.0
3,2,1,-7.3372321128845215,-7.3372321128845215,True,all_offload_balancing,0.4004929939710269,0.5555555555555556,5.0,1,0.2460777429320996,0.4004929939710269,-7.337232168860942,-7.337232168860942,-7.337232168860942,-0.0238078689823548,True,False,0.6,0.0,"[[-0.7732633352279663, -0.27320319414138794, -0.190993532538414], [-1.0, 0.004388551227748394, -0.3585340678691864], [-0.6404516100883484, -0.9754612445831299, 0.4373665452003479]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.24242424242424243, 0.0], [1.0, 0.9696969696969697, 0.5454545454545454], [0.29411764705882354, 1.0, 1.0]]","[[0.45002075853325557, 0.0, 0.0], [0.7357837050683608, 0.15, 0.0], [0.7210402386404126, 0.15, 0.0]]","[[4.0, 2.0, 3.0], [4.0, 5.0, 2.0], [2.0, 3.0, 5.0]]",-0.7732633352279663,-0.27320319414138794,-0.190993532538414,-1.5317612886428833,0.004388551227748394,-0.3585340678691864,-0.6404516100883484,-0.9754612445831299,0.4373665452003479,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,-0.7732633352279663,-0.27320319414138794,-0.190993532538414,-1.0,0.004388551227748394,-0.3585340678691864,-0.6404516100883484,-0.9754612445831299,0.4373665452003479,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.24242424242424243,0.0,1.0,0.9696969696969697,0.5454545454545454,0.29411764705882354,1.0,1.0,0.45002075853325557,0.0,0.0,0.7357837050683608,0.15,0.0,0.7210402386404126,0.15,0.0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,3.0,5.0
4,3,1,-6.352779865264893,-6.352779865264893,True,all_offload_balancing,0.43802888554907016,0.4444444444444444,6.0,1,0.2460777429320996,0.43802888554907016,-6.352779771800021,-6.352779771800021,-6.352779771800021,0.0768957767221663,True,False,0.25,1.0,"[[-0.44548505544662476, 0.07118862122297287, 0.12075010687112808], [0.47829657793045044, 0.4001636803150177, 0.8285676836967468], [-1.0, -1.0, 1.0]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.36363636363636365, 0.9696969696969697], [0.058823529411764705, 1.0, 0.0], [0.6470588235294118, 0.5454545454545454, 1.0]]","[[0.40088523444282903, 0.17500000000000002, 0.0], [0.2521748003570938, 0.17500000000000002, 0.0], [0.745475196472725, 0.17500000000000002, 0.0]]","[[4.0, 2.0, 3.0], [3.0, 5.0, 2.0], [3.0, 3.0, 5.0]]",-0.44548505544662476,0.07118862122297287,0.12075010687112808,0.47829657793045044,0.4001636803150177,0.8285676836967468,-1.517379879951477,-1.1405029296875,1.6808432340621948,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,-0.44548505544662476,0.07118862122297287,0.12075010687112808,0.47829657793045044,0.4001636803150177,0.8285676836967468,-1.0,-1.0,1.0,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.36363636363636365,0.9696969696969697,0.058823529411764705,1.0,0.0,0.6470588235294118,0.5454545454545454,1.0,0.40088523444282903,0.17500000000000002,0.0,0.2521748003570938,0.17500000000000002,0.0,0.745475196472725,0.17500000000000002,0.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,5.0
5,4,1,-5.933142185211182,-5.933142185211182,True,all_offload_balancing,0.585450464238343,0.3333333333333333,5.0,1,0.2460777429320996,0.585450464238343,-5.933142233450224,-5.933142233450224,-5.933142233450224,0.3570707328617573,True,False,0.6666666666666666,0.5,"[[-0.02487926371395588, -0.5964511632919312, -0.1614406555891037], [0.12817950546741486, 1.0, 1.0], [-0.6888315081596375, -0.09257473796606064, -0.24941660463809967]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.7878787878787878, 0.0], [0.0, 1.0, 0.7272727272727273], [0.0, 0.0, 1.0]]","[[0.5659411978001978, 0.20000000000000004, 0.0], [0.26566641762359533, 0.20000000000000004, 0.0], [0.6215108449877701, 0.0, 0.0]]","[[5.0, 2.0, 3.0], [3.0, 5.0, 3.0], [2.0, 3.0, 4.0]]",-0.02487926371395588,-0.5964511632919312,-0.1614406555891037,0.12817950546741486,1.5852137804031372,1.2455276250839233,-0.6888315081596375,-0.09257473796606064,-0.24941660463809967,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,-0.02487926371395588,-0.5964511632919312,-0.1614406555891037,0.12817950546741486,1.0,1.0,-0.6888315081596375,-0.09257473796606064,-0.24941660463809967,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.7878787878787878,0.0,0.0,1.0,0.7272727272727273,0.0,0.0,1.0,0.5659411978001978,0.20000000000000004,0.0,0.26566641762359533,0.20000000000000004,0.0,0.6215108449877701,0.0,0.0,5.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0
6,5,1,-7.395223617553711,-7.395223617553711,True,all_offload_balancing,0.34837840499998407,0.5555555555555556,5.0,1,0.2460777429320996,0.34837840499998407,-7.395223748135565,-7.395223748135565,-7.395223748135565,-0.16165920098622638,True,False,0.4,0.5,"[[-0.39499709010124207, -1.0, 1.0], [0.8892109990119934, 0.41166505217552185, -0.6625720858573914], [1.0, 0.4742774963378906, 0.6847378611564636]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.0, 0.9090909090909091], [0.5882352941176471, 1.0, 1.0], [0.0, 0.7272727272727273, 1.0]]","[[0.6849929935987151, 0.0, 0.0], [0.46348776539274894, 0.22499999999999998, 0.0], [0.6215108449877701, 0.22499999999999998, 0.0]]","[[5.0, 2.0, 3.0], [3.0, 5.0, 3.0], [2.0, 3.0, 4.0]]",-0.39499709010124207,-1.3970649242401123,2.744366407394409,0.8892109990119934,0.41166505217552185,-0.6625720858573914,1.0686144828796387,0.4742774963378906,0.6847378611564636,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,-0.39499709010124207,-1.0,1.0,0.8892109990119934,0.41166505217552185,-0.6625720858573914,1.0,0.4742774963378906,0.6847378611564636,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.0,0.9090909090909091,0.5882352941176471,1.0,1.0,0.0,0.7272727272727273,1.0,0.6849929935987151,0.0,0.0,0.46348776539274894,0.22499999999999998,0.0,0.6215108449877701,0.22499999999999998,0.0,5.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0
7,6,1,-7.40723991394043,-7.40723991394043,True,all_offload_balancing,0.4458728701152944,0.4444444444444444,5.0,1,0.2460777429320996,0.4458728701152944,-7.40723990590439,-7.40723990590439,-7.40723990590439,0.31134111765358186,True,False,0.75,0.0,"[[-0.45010045170783997, -0.5987384915351868, -0.18564936518669128], [0.03811291977763176, -0.3105902671813965, -0.7099085450172424], [-0.827246367931366, -1.0, -1.0]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.0, 0.48484848484848486], [1.0, 1.0, 0.6666666666666666], [0.0, 0.7272727272727273, 1.0]]","[[0.5570989555073488, 0.0, 0.0], [0.6610834910392371, 0.25, 0.0], [0.6130003582330674, 0.25, 0.0]]","[[5.0, 2.0, 3.0], [3.0, 4.0, 2.0], [2.0, 4.0, 5.0]]",-0.45010045170783997,-0.5987384915351868,-0.18564936518669128,0.03811291977763176,-0.3105902671813965,-0.7099085450172424,-0.827246367931366,-1.1130903959274292,-1.5997576713562012,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,-0.45010045170783997,-0.5987384915351868,-0.18564936518669128,0.03811291977763176,-0.3105902671813965,-0.7099085450172424,-0.827246367931366,-1.0,-1.0,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.0,0.48484848484848486,1.0,1.0,0.6666666666666666,0.0,0.7272727272727273,1.0,0.5570989555073488,0.0,0.0,0.6610834910392371,0.25,0.0,0.6130003582330674,0.25,0.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0
8,7,1,-6.535379409790039,-6.535379409790039,True,all_offload_balancing,0.45259063671562355,0.4444444444444444,5.0,1,0.2460777429320996,0.45259063671562355,-6.5353791752186865,-6.5353791752186865,-6.5353791752186865,0.14321567904618052,True,False,0.5,0.6666666666666666,"[[-0.22511400282382965, -0.7741353511810303, -0.9959237575531006], [0.28968650102615356, 0.013484479859471321, -0.8900362849235535], [0.38262292742729187, 1.0, -1.0]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.48484848484848486, 0.0], [0.8823529411764706, 1.0, 0.6666666666666666], [0.23529411764705882, 0.0, 1.0]]","[[0.42319104816993625, 0.275, 0.0], [0.421322006692801, 0.275, 0.0], [0.6027681802359464, 0.0, 0.0]]","[[5.0, 2.0, 3.0], [3.0, 5.0, 3.0], [2.0, 3.0, 4.0]]",-0.22511400282382965,-0.7741353511810303,-0.9959237575531006,0.28968650102615356,0.013484479859471321,-0.8900362849235535,0.38262292742729187,1.0645653009414673,-1.6457653045654297,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,-0.22511400282382965,-0.7741353511810303,-0.9959237575531006,0.28968650102615356,0.013484479859471321,-0.8900362849235535,0.38262292742729187,1.0,-1.0,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.48484848484848486,0.0,0.8823529411764706,1.0,0.6666666666666666,0.23529411764705882,0.0,1.0,0.42319104816993625,0.275,0.0,0.421322006692801,0.275,0.0,0.6027681802359464,0.0,0.0,5.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0
9,8,1,-5.676485061645508,-5.676485061645508,True,all_offload_balancing,0.36846956863733626,0.3333333333333333,5.0,1,0.2460777429320996,0.36846956863733626,-5.67648487334897,-5.67648487334897,-5.67648487334897,0.1541341758436627,True,False,1.0,0.3333333333333333,"[[-0.09825042635202408, -1.0, 1.0], [-0.34857532382011414, -1.0, -0.3932495713233948], [-0.5397909283638, -0.4963326156139374, -0.37330180406570435]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.12121212121212122, 0.0], [0.4117647058823529, 1.0, 0.6666666666666666], [0.5882352941176471, 0.7272727272727273, 1.0]]","[[0.19643110155477655, 0.0, 0.0], [0.30332428289198027, 0.29999999999999993, 0.0], [0.6485181925722205, 0.29999999999999993, 0.0]]","[[4.0, 2.0, 3.0], [3.0, 5.0, 2.0], [3.0, 3.0, 5.0]]",-0.09825042635202408,-2.2677202224731445,1.2259279489517212,-0.34857532382011414,-1.0795966386795044,-0.3932495713233948,-0.5397909283638,-0.4963326156139374,-0.37330180406570435,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,-0.09825042635202408,-1.0,1.0,-0.34857532382011414,-1.0,-0.3932495713233948,-0.5397909283638,-0.4963326156139374,-0.37330180406570435,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.12121212121212122,0.0,0.4117647058823529,1.0,0.6666666666666666,0.5882352941176471,0.7272727272727273,1.0,0.19643110155477655,0.0,0.0,0.30332428289198027,0.29999999999999993,0.0,0.6485181925722205,0.29999999999999993,0.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,5.0
10,9,1,-7.939218044281006,-7.939218044281006,True,all_offload_balancing,0.4435575919271002,0.4444444444444444,5.0,1,0.2460777429320996,0.4435575919271002,-7.939218002993175,-7.939218002993175,-7.939218002993175,0.7801614457534418,True,False,1.0,0.6666666666666666,"[[-1.0, 0.09606696665287018, 0.4586317241191864], [-0.031014258041977882, -1.0, -0.575519859790802], [0.4263796806335449, -0.9818816184997559, -0.03532731905579567]]","[[0.88, 0.18, 0.5], [0.5, 0.88, 0.18], [0.18, 0.5, 0.88]]","[[1.0, 0.0, 0.0], [1.0, 1.0, 0.0], [0.6470588235294118, 0.8484848484848485, 1.0]]","[[0.5442718528367769, 0.0, 0.0], [0.7549256477494619, 0.32499999999999996, 0.0], [0.7342429354287726, 0.32499999999999996, 0.0]]","[[4.0, 2.0, 3.0], [3.0, 5.0, 2.0], [3.0, 3.0, 5.0]]",-1.1999045610427856,0.09606696665287018,0.4586317241191864,-0.031014258041977882,-1.3816343545913696,-0.575519859790802,0.4263796806335449,-0.9818816184997559,-0.03532731905579567,0.8823529481887817,0.1818181872367859,0.4848484992980957,0.5,0.8787878751754761,0.1818181872367859,0.1764705926179886,0.4848484992980957,0.8787878751754761,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,1.0,0.4000000059604645,0.4000000059604645,0.6000000238418579,1.0,-1.0,0.09606696665287018,0.4586317241191864,-0.031014258041977882,-1.0,-0.575519859790802,0.4263796806335449,-0.9818816184997559,-0.03532731905579567,0.88,0.18,0.5,0.5,0.88,0.18,0.18,0.5,0.88,1.0,0.0,0.0,1.0,1.0,0.0,0.6470588235294118,0.8484848484848485,1.0,0.5442718528367769,0.0,0.0,0.7549256477494619,0.32499999999999996,0.0,0.7342429354287726,0.32499999999999996,0.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,5.0
