step,episode,episode_step,reward,episode_return,done,scenario_name,load_variance,target_load_error,overload_ratio,sla_count,handover_count,load_imbalance_start,load_imbalance_end,target_load_error_start,target_load_error_end,instant_reward_mean,dense_window_reward,episode_terminal_reward,action_direction_reward,terminal_reward_only,use_progress_reward,overloaded_negative_fraction,light_nonnegative_fraction,bias_matrix,target_load_matrix,balance_target_matrix,load_matrix,sla_matrix,ue_count_matrix,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,bias_g0_eMBB,bias_g0_URLLC,bias_g0_mMTC,bias_g1_eMBB,bias_g1_URLLC,bias_g1_mMTC,bias_g2_eMBB,bias_g2_URLLC,bias_g2_mMTC,target_load_g0_eMBB,target_load_g0_URLLC,target_load_g0_mMTC,target_load_g1_eMBB,target_load_g1_URLLC,target_load_g1_mMTC,target_load_g2_eMBB,target_load_g2_URLLC,target_load_g2_mMTC,balance_target_g0_eMBB,balance_target_g0_URLLC,balance_target_g0_mMTC,balance_target_g1_eMBB,balance_target_g1_URLLC,balance_target_g1_mMTC,balance_target_g2_eMBB,balance_target_g2_URLLC,balance_target_g2_mMTC,load_g0_eMBB,load_g0_URLLC,load_g0_mMTC,load_g1_eMBB,load_g1_URLLC,load_g1_mMTC,load_g2_eMBB,load_g2_URLLC,load_g2_mMTC,sla_g0_eMBB,sla_g0_URLLC,sla_g0_mMTC,sla_g1_eMBB,sla_g1_URLLC,sla_g1_mMTC,sla_g2_eMBB,sla_g2_URLLC,sla_g2_mMTC,ue_count_g0_eMBB,ue_count_g0_URLLC,ue_count_g0_mMTC,ue_count_g1_eMBB,ue_count_g1_URLLC,ue_count_g1_mMTC,ue_count_g2_eMBB,ue_count_g2_URLLC,ue_count_g2_mMTC
1,0,1,-1.3883817195892334,-1.3883817195892334,False,embb_g0_offload,0.05468829711253953,0.20623107846138153,0.3333333333333333,0.0,0,0.031244444444444446,0.20623107846138153,0.031244444444444446,0.20623107846138153,-1.3883817109736463,-1.3883817109736463,0.0,-0.5769977768262228,False,False,0.6666666666666666,0.6,"[[0.6860934495925903, 0.19025355577468872, 0.910935640335083], [-0.5055738091468811, 0.5017215013504028, 1.0], [-0.4407077729701996, -0.6731873750686646, -1.0]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.12121212121212122, 0.0], [1.0, 0.5454545454545454, 0.0], [1.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[3.0, 2.0, 2.0], [1.0, 2.0, 2.0], [1.0, 2.0, 2.0]]",0.6860934495925903,0.19025355577468872,0.910935640335083,-0.5055738091468811,0.5017215013504028,1.8615773916244507,-0.4407077729701996,-0.6731873750686646,-1.14508056640625,1.0,0.12121212482452393,0.0,1.0,0.5454545617103577,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.6860934495925903,0.19025355577468872,0.910935640335083,-0.5055738091468811,0.5017215013504028,1.0,-0.4407077729701996,-0.6731873750686646,-1.0,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.12121212121212122,0.0,1.0,0.5454545454545454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
2,0,2,0.7575553059577942,-0.6308264136314392,False,embb_g0_offload,0.0,0.2456148148148148,0.3333333333333333,1.0,10,0.20623107846138153,0.2456148148148148,0.20623107846138153,0.2456148148148148,0.757555300013568,0.757555300013568,0.0,1.226099119299934,False,False,0.3333333333333333,0.6666666666666666,"[[-0.9045650959014893, 0.28478363156318665, 1.0], [0.5079078078269958, -1.0, 0.1307050585746765], [0.21144238114356995, -1.0, 0.3863385021686554]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.014548363561667648, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[1.0, 2.0, 2.0], [2.0, 2.0, 2.0], [2.0, 2.0, 2.0]]",-0.9045650959014893,0.28478363156318665,1.6068178415298462,0.5079078078269958,-1.2198690176010132,0.1307050585746765,0.21144238114356995,-2.2765727043151855,0.3863385021686554,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014548363164067268,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,-0.9045650959014893,0.28478363156318665,1.0,0.5079078078269958,-1.0,0.1307050585746765,0.21144238114356995,-1.0,0.3863385021686554,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014548363561667648,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3,0,3,-0.20597103238105774,-0.836797446012497,False,embb_g0_offload,0.0,0.2456148148148148,0.3333333333333333,0.0,10,0.2456148148148148,0.2456148148148148,0.2456148148148148,0.2456148148148148,-0.2059710331335828,-0.2059710331335828,0.0,0.23684898657458167,False,False,1.0,0.3333333333333333,"[[-0.7649954557418823, -0.2728959918022156, -0.18667475879192352], [-1.0, 0.004562459886074066, -0.3552136719226837], [-0.6403852105140686, -0.9741070866584778, 0.43421465158462524]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[3.0, 2.0, 2.0], [1.0, 2.0, 2.0], [1.0, 2.0, 2.0]]",-0.7649954557418823,-0.2728959918022156,-0.18667475879192352,-1.533937692642212,0.004562459886074066,-0.3552136719226837,-0.6403852105140686,-0.9741070866584778,0.43421465158462524,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,-0.7649954557418823,-0.2728959918022156,-0.18667475879192352,-1.0,0.004562459886074066,-0.3552136719226837,-0.6403852105140686,-0.9741070866584778,0.43421465158462524,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
4,0,4,0.3895028233528137,-0.4472946226596832,False,embb_g0_offload,0.022854810733598612,0.17256104479134782,0.3333333333333333,0.0,10,0.2456148148148148,0.17256104479134782,0.2456148148148148,0.17256104479134782,0.3895028123637024,0.3895028123637024,0.0,0.8522573283740452,False,False,0.6666666666666666,0.8333333333333334,"[[-0.4357706308364868, 0.07097597420215607, 0.12446551024913788], [0.47526830434799194, 0.40122660994529724, 0.8319025039672852], [-1.0, -1.0, 1.0]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.12121212121212122, 0.12121212121212122], [1.0, 0.0, 0.12121212121212122], [1.0, 0.36363636363636365, 0.12121212121212122]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[1.0, 2.0, 2.0], [2.0, 2.0, 2.0], [2.0, 2.0, 2.0]]",-0.4357706308364868,0.07097597420215607,0.12446551024913788,0.47526830434799194,0.40122660994529724,0.8319025039672852,-1.5160452127456665,-1.136770486831665,1.6780328750610352,1.0,0.12121212482452393,0.12121212482452393,1.0,0.0,0.12121212482452393,1.0,0.3636363744735718,0.12121212482452393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,-0.4357706308364868,0.07097597420215607,0.12446551024913788,0.47526830434799194,0.40122660994529724,0.8319025039672852,-1.0,-1.0,1.0,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.12121212121212122,0.12121212121212122,1.0,0.0,0.12121212121212122,1.0,0.36363636363636365,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
5,0,5,-1.4468615055084229,-1.894156128168106,False,embb_g0_offload,0.16059585756555458,0.21725036220793795,0.4444444444444444,2.0,2,0.17256104479134782,0.21725036220793795,0.17256104479134782,0.21725036220793795,-1.4468615543791064,-1.4468615543791064,0.0,0.40036692062304136,False,False,0.75,0.4,"[[-0.016075583174824715, -0.5960218906402588, -0.15695689618587494], [0.12544630467891693, 1.0, 1.0], [-0.6906413435935974, -0.09178426861763, -0.25139614939689636]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.18181818181818182, 0.0], [1.0, 0.12121212121212122, 0.0], [1.0, 1.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.8195796256011803, 4.336808689942018e-17, 0.0]]","[[3.0, 2.0, 2.0], [1.0, 2.0, 2.0], [1.0, 2.0, 2.0]]",-0.016075583174824715,-0.5960218906402588,-0.15695689618587494,0.12544630467891693,1.5846033096313477,1.2485672235488892,-0.6906413435935974,-0.09178426861763,-0.25139614939689636,1.0,0.1818181872367859,0.0,1.0,0.12121212482452393,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8195796012878418,4.336808689942018e-17,0.0,1.0,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,-0.016075583174824715,-0.5960218906402588,-0.15695689618587494,0.12544630467891693,1.0,1.0,-0.6906413435935974,-0.09178426861763,-0.25139614939689636,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.18181818181818182,0.0,1.0,0.12121212121212122,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8195796256011803,4.336808689942018e-17,0.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
6,0,6,0.31812748312950134,-1.5760286450386047,False,embb_g0_offload,0.18365472910927452,0.2364320783593511,0.4444444444444444,1.0,1,0.21725036220793795,0.2364320783593511,0.21725036220793795,0.2364320783593511,0.3181274700801017,0.3181274700801017,0.0,1.0163202058701288,False,False,0.25,0.6,"[[-0.3878355920314789, -1.0, 1.0], [0.8840999603271484, 0.4097226560115814, -0.6624002456665039], [1.0, 0.4772719144821167, 0.6827918887138367]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.9090909090909091, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.38336955878528156, 0.0, 0.0]]","[[2.0, 2.0, 2.0], [1.0, 2.0, 2.0], [2.0, 2.0, 2.0]]",-0.3878355920314789,-1.3971686363220215,2.74725079536438,0.8840999603271484,0.4097226560115814,-0.6624002456665039,1.066892385482788,0.4772719144821167,0.6827918887138367,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9090909361839294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3833695650100708,0.0,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,-0.3878355920314789,-1.0,1.0,0.8840999603271484,0.4097226560115814,-0.6624002456665039,1.0,0.4772719144821167,0.6827918887138367,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38336955878528156,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
7,0,7,0.08427548408508301,-1.4917531609535217,False,embb_g0_offload,0.22222222222222224,0.2456148148148148,0.4444444444444444,0.0,10,0.2364320783593511,0.2456148148148148,0.2364320783593511,0.2456148148148148,0.08427548069278853,0.08427548069278853,0.0,0.5428163185715675,False,False,0.75,0.0,"[[-0.44110244512557983, -0.5979453325271606, -0.18143923580646515], [0.03423730656504631, -0.31179094314575195, -0.7083661556243896], [-0.8282652497291565, -1.0, -1.0]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 1.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[2.0, 2.0, 2.0], [1.0, 2.0, 2.0], [2.0, 2.0, 2.0]]",-0.44110244512557983,-0.5979453325271606,-0.18143923580646515,0.03423730656504631,-0.31179094314575195,-0.7083661556243896,-0.8282652497291565,-1.1114847660064697,-1.6021655797958374,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,-0.44110244512557983,-0.5979453325271606,-0.18143923580646515,0.03423730656504631,-0.31179094314575195,-0.7083661556243896,-0.8282652497291565,-1.0,-1.0,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
8,0,8,0.04122931510210037,-1.4505238458514214,False,embb_g0_offload,0.0073461891643709825,0.16297018671564129,0.3333333333333333,1.0,2,0.2456148148148148,0.16297018671564129,0.2456148148148148,0.16297018671564129,0.04122931455574792,0.04122931455574792,0.0,0.5201217819537435,False,False,0.3333333333333333,0.3333333333333333,"[[-0.21407942473888397, -0.7727299928665161, -0.9906957149505615], [0.2868345379829407, 0.013148408383131027, -0.8873097896575928], [0.38123512268066406, 1.0, -1.0]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.12121212121212122, 0.12121212121212122], [1.0, 0.12121212121212122, 0.12121212121212122], [1.0, 0.30303030303030304, 0.12121212121212122]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.024371224125358422, 0.0, 0.0]]","[[2.0, 2.0, 2.0], [1.0, 2.0, 2.0], [2.0, 2.0, 2.0]]",-0.21407942473888397,-0.7727299928665161,-0.9906957149505615,0.2868345379829407,0.013148408383131027,-0.8873097896575928,0.38123512268066406,1.0655282735824585,-1.647471308708191,1.0,0.12121212482452393,0.12121212482452393,1.0,0.12121212482452393,0.12121212482452393,1.0,0.3030303120613098,0.12121212482452393,0.0,0.0,0.0,0.0,0.0,0.0,0.024371223524212837,0.0,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,-0.21407942473888397,-0.7727299928665161,-0.9906957149505615,0.2868345379829407,0.013148408383131027,-0.8873097896575928,0.38123512268066406,1.0,-1.0,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.12121212121212122,0.12121212121212122,1.0,0.12121212121212122,0.12121212121212122,1.0,0.30303030303030304,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.024371224125358422,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
9,0,9,-0.5165303349494934,-1.9670541808009148,False,embb_g0_offload,0.007346189164370984,0.2290858891949801,0.3333333333333333,0.0,1,0.16297018671564129,0.2290858891949801,0.16297018671564129,0.2290858891949801,-0.5165303228731888,-0.5165303228731888,0.0,0.03438800928138552,False,False,1.0,0.16666666666666666,"[[-0.08885439485311508, -1.0, 1.0], [-0.35155153274536133, -1.0, -0.3902152180671692], [-0.5396919250488281, -0.4943006634712219, -0.37583813071250916]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.0, 0.0], [1.0, 0.18181818181818182, 0.0], [1.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[3.0, 2.0, 2.0], [1.0, 2.0, 2.0], [1.0, 2.0, 2.0]]",-0.08885439485311508,-2.2671661376953125,1.2299699783325195,-0.35155153274536133,-1.079649567604065,-0.3902152180671692,-0.5396919250488281,-0.4943006634712219,-0.37583813071250916,1.0,0.0,0.0,1.0,0.1818181872367859,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,-0.08885439485311508,-1.0,1.0,-0.35155153274536133,-1.0,-0.3902152180671692,-0.5396919250488281,-0.4943006634712219,-0.37583813071250916,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.0,0.0,1.0,0.18181818181818182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
10,0,10,0.5325176119804382,-1.4345365688204765,False,embb_g0_offload,0.0008162432404856647,0.23928892970105092,0.3333333333333333,0.0,10,0.2290858891949801,0.23928892970105092,0.2290858891949801,0.23928892970105092,0.5325175830234123,0.5325175830234123,0.0,0.9705030478182293,False,False,0.6666666666666666,0.5,"[[-1.0, 0.09606648236513138, 0.46222037076950073], [-0.03354413062334061, -1.0, -0.5722576975822449], [0.4277689754962921, -0.9783843159675598, -0.038211241364479065]]","[[0.88, 0.5, 0.5], [0.18, 0.5, 0.5], [0.48, 0.5, 0.5]]","[[0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5], [0.5133333333333333, 0.5, 0.5]]","[[1.0, 0.0, 0.0], [1.0, 0.06060606060606061, 0.0], [1.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[1.0, 2.0, 2.0], [2.0, 2.0, 2.0], [2.0, 2.0, 2.0]]",-1.1901952028274536,0.09606648236513138,0.46222037076950073,-0.03354413062334061,-1.3806943893432617,-0.5722576975822449,0.4277689754962921,-0.9783843159675598,-0.038211241364479065,1.0,0.0,0.0,1.0,0.06060606241226196,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,-1.0,0.09606648236513138,0.46222037076950073,-0.03354413062334061,-1.0,-0.5722576975822449,0.4277689754962921,-0.9783843159675598,-0.038211241364479065,0.88,0.5,0.5,0.18,0.5,0.5,0.48,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,0.5133333333333333,0.5,0.5,1.0,0.0,0.0,1.0,0.06060606060606061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
