phase,episode,global_step,snapshot_name,expected_case,local_load,neighbor_load,scenario_local_load,scenario_neighbor_load,local_ue_count,neighbor_ue_count,local_bias,neighbor_bias,mean_raw_action,mean_applied_offset,mean_desired_offset,mean_tracking_error,handover_attempts,handover_successes,handover_failures,handover_ping_pongs,episode_return
train,0,9,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,1.1173317962222629,2.2222222222222223,-5.877777777777777,8.100000000000001,0,0,0,0,-5.0080461502075195
train,1,18,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,-0.12071225378248426,-0.8888888888888888,-6.0,5.111111111111111,0,0,0,0,-5.954123213887215
train,2,27,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.3333333333333335,1.6666666666666667,-1.0,1.0,-1.0711759726206462,-0.2222222222222222,-6.0,5.777777777777778,2,2,0,0,-2.8312628138810396
train,3,36,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,2.4444444444444446,2.5555555555555554,-1.0,1.0,-1.3995153903961182,-0.2222222222222222,-5.350354607412494,5.128132385190272,3,3,0,1,-3.445147693157196
train,4,45,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,2.111111111111111,2.888888888888889,-1.0,1.0,0.01242428355746799,-1.3333333333333333,-6.0,4.666666666666667,2,2,0,0,-2.5924406833946705
train,5,54,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.111111111111111,1.8888888888888888,-1.0,1.0,0.05909766091240777,0.4444444444444444,-6.0,6.444444444444445,1,1,0,0,-4.141918927431107
train,6,63,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,2.2222222222222223,2.7777777777777777,-1.0,1.0,0.4344037373860677,-0.6666666666666666,-6.0,5.333333333333333,2,2,0,0,-3.0761917401105165
train,7,72,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,-1.6545099417368572,-2.6666666666666665,-6.0,3.3333333333333335,0,0,0,0,-1.1028466057032347
train,8,81,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,1.5597600936889648,3.3333333333333335,-6.0,9.333333333333334,0,0,0,0,-7.067718654870987
train,9,90,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,0.7901344299316406,0.8888888888888888,-6.0,6.888888888888889,0,0,0,0,-9.28321385383606
train,10,99,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.0,2.0,-1.0,1.0,-0.8764936923980713,-0.8888888888888888,-6.0,5.111111111111111,1,1,0,0,-7.675561219453812
train,11,108,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,0.8354766103956435,-0.2222222222222222,-6.0,5.777777777777778,0,0,0,0,-3.7878248393535614
train,12,117,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,1.440094338523017,2.4444444444444446,-6.0,8.444444444444445,0,0,0,0,-5.263650596141815
train,13,126,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,-0.15173890855577257,-0.2222222222222222,-6.0,5.777777777777778,0,0,0,0,-3.6950146332383156
train,14,135,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,-0.48202496104770237,-1.3333333333333333,-6.0,4.666666666666667,0,0,0,0,-2.377063900232315
train,15,144,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,0.893949376212226,0.0,-6.0,6.0,0,0,0,0,-3.70951060205698
train,16,153,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.0,2.0,-1.0,1.0,-0.3914782206217448,-0.2222222222222222,-6.0,5.777777777777778,1,1,0,0,-5.5737714022397995
train,17,162,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.4444444444444446,1.5555555555555556,-1.0,1.0,0.3897017902798123,1.1111111111111112,-6.0,7.111111111111111,2,2,0,0,-4.0186918172985315
train,18,171,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,0.5568521817525228,1.1111111111111112,-6.0,7.111111111111111,0,0,0,0,-4.374438226222992
train,19,180,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,0.006002664566040039,0.0,-6.0,6.0,0,0,0,0,-3.876184403896332
train,20,189,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.888888888888889,1.1111111111111112,-1.0,1.0,0.07606983184814453,1.3333333333333333,-6.0,7.333333333333333,1,1,0,0,-4.079856822267175
train,21,198,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.111111111111111,1.8888888888888888,-1.0,1.0,-1.899143033557468,-2.888888888888889,-6.0,3.111111111111111,1,1,0,0,-1.597756190225482
train,22,207,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.111111111111111,1.8888888888888888,-1.0,1.0,0.5377556482950846,0.8888888888888888,-5.822222222222221,6.711111111111111,1,1,0,1,-6.261470913887024
train,23,216,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.0,2.0,-1.0,1.0,-0.42986994319491917,-0.2222222222222222,-6.0,5.777777777777778,2,2,0,0,-3.8471176121383905
train,24,225,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,1.3227559195624456,2.2222222222222223,-6.0,8.222222222222221,0,0,0,0,-6.015539646148682
train,25,234,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,1.9446791542900934,1.7777777777777777,-6.0,7.777777777777778,0,0,0,0,-5.47404944896698
train,26,243,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.111111111111111,1.8888888888888888,-1.0,1.0,-0.9043006102244059,-2.4444444444444446,-6.0,3.5555555555555554,1,1,0,0,-2.0164286978542805
train,27,252,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.2222222222222223,1.7777777777777777,-1.0,1.0,-0.8655176957448324,-0.2222222222222222,-6.0,5.777777777777778,1,1,0,0,-2.4245223477482796
train,28,261,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,2.888888888888889,2.111111111111111,-1.0,1.0,-1.6664278507232666,-1.5555555555555556,-5.781224975115472,4.2256694195599165,2,2,0,1,-4.719320148229599
train,29,270,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.4444444444444446,1.5555555555555556,-1.0,1.0,-0.9952792856428359,-1.7777777777777777,-6.0,4.222222222222222,1,1,0,0,-1.7160576544702053
train,30,279,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,0.31635793050130206,0.8888888888888888,-6.0,6.888888888888889,0,0,0,0,-4.025983422994614
train,31,288,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,-0.8111193709903293,0.0,-5.9423854862656516,5.9423854862656516,0,0,0,0,-2.972777433693409
train,32,297,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,2.0,3.0,-1.0,1.0,2.1363172266218395,1.3333333333333333,-5.642186007048393,6.975519340381725,2,2,0,2,-7.148263931274414
train,33,306,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,4.0,1.0,-1.0,1.0,1.4814132584465876,2.0,-6.0,8.0,0,0,0,0,-4.451135158538818
train,34,315,fixed_embb_offload_snapshot,offload,1.0,1.0,0.9117647058823528,0.20588235294117646,3.0,2.0,-1.0,1.0,-0.5745956897735596,-0.4444444444444444,-6.0,5.555555555555555,1,1,0,0,-2.5815470814704895
