step,budget_prbs,allocated_prbs,used_prbs,allocated_load,demand_prbs,demand_load,queue_bits,queue_pressure,arrived_bits,scheduled_bits,served_bits,served_ratio,service_to_arrival_ratio,tx_success_ratio,ue_count,throughput_bps,delay_s,dropped_bits
0,50,2,2,0.04,0,0.0,0.0,0.0,600.0,600.0,600.0,1.0,1.0,1.0,2,12000.0,0.0,0.0
1,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,35760.0,0.0,0.0
2,50,2,2,0.04,0,0.0,0.0,0.0,600.0,600.0,600.0,1.0,1.0,1.0,2,47044.8,0.0,0.0
3,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,70103.904,0.0,0.0
4,50,2,2,0.04,0,0.0,0.0,0.0,600.0,600.0,600.0,1.0,1.0,1.0,2,80701.82592,0.0,0.0
5,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,103087.78940159999,0.0,0.0
6,50,2,2,0.04,0,0.0,0.0,0.0,600.0,600.0,600.0,1.0,1.0,1.0,2,113026.033613568,0.0,0.0
7,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,134765.51294129662,0.0,0.0
8,50,2,2,0.04,0,0.0,0.0,0.0,600.0,600.0,600.0,1.0,1.0,1.0,2,144070.2026824707,0.0,0.0
9,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,165188.7986288213,0.0,0.0
10,50,2,2,0.04,0,0.0,0.0,0.0,600.0,600.0,600.0,1.0,1.0,1.0,2,173885.02265624487,0.0,0.0
11,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,194407.32220311995,0.0,0.0
12,50,2,2,0.04,0,0.0,0.0,0.0,600.0,600.0,600.0,1.0,1.0,1.0,2,202519.17575905757,0.0,0.0
13,50,4,4,0.08,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1.0,1.0,1.0,2,222468.79224387644,0.0,0.0
