scenario,mode,time_s,predicted_handovers_now,bias_g0_eMBB,bias_g0_URLLC,bias_g0_mMTC,bias_g1_eMBB,bias_g1_URLLC,bias_g1_mMTC,bias_g2_eMBB,bias_g2_URLLC,bias_g2_mMTC,offset_g0_eMBB,offset_g0_URLLC,offset_g0_mMTC,offset_g1_eMBB,offset_g1_URLLC,offset_g1_mMTC,offset_g2_eMBB,offset_g2_URLLC,offset_g2_mMTC
g0_embb_moving_to_g1,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g0_embb_moving_to_g1,baseline,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g0_embb_moving_to_g1,baseline,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g0_embb_moving_to_g1,baseline,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g0_embb_moving_to_g1,baseline,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g0_embb_moving_to_g1,baseline,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g0_embb_moving_to_g1,heuristic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g0_embb_moving_to_g1,heuristic,5.0,1.0,-1.0,1.0,0.5733333333333334,1.0,-1.0,0.5733333333333334,1.0,1.0,-1.0,-6.0,2.0,2.0,4.0,-4.0,2.0,4.0,2.0,-6.0
g0_embb_moving_to_g1,heuristic,10.0,3.0,-1.0,0.0,0.5733333333333334,-1.0,0.0,0.5733333333333334,1.0,0.0,-1.0,-6.0,0.0,4.0,-4.0,-4.0,4.0,4.0,0.0,-6.0
g0_embb_moving_to_g1,heuristic,15.0,5.0,1.0,0.32,1.0,-1.0,-0.6399999999999999,1.0,1.0,0.32,-1.0,0.0,0.0,4.0,-6.0,-6.0,4.0,4.0,0.0,-6.0
