tick,time_s,time_ms,radio_dt_s,radio_substeps,serving_gnb,connected,sinr_db,scheduled_sinr_db,snr_db,rsrp_proxy_dbm,rssi_dbm,rsrq_proxy_db,rx_power_dbm,interference_dbm,noise_dbm,mcs,rx_probability,ue_allocated_prbs,ue_scheduled_bits,ue_served_bits,ue_queue_bits,ue_throughput_bps,slice_budget_prbs,slice_used_prbs,slice_allocated_prbs,slice_demand_prbs,slice_scheduled_bits,slice_served_bits,slice_load,fading_trace_idx,fading_column_idx,fading_step_direction,fading_n_columns
1,0.001,1.0,0.001,1,0,True,0.7718429638962534,-0.8336242721037466,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,1,0.999749292017519,20,2000.0,2000.0,0.0,40000.0,50,20,20,0,2000.0,2000.0,0.4,2,1761,1,10001
2,0.002,2.0,0.001,1,0,True,0.7718429638962534,-3.2520088101037463,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,0,0.9999937601536166,30,1890.0,1890.0,110.0,77000.0,50,30,30,2,1890.0,1890.0,0.6,2,1762,1,10001
3,0.003,3.0,0.001,1,0,True,0.7718429638962534,-4.492587476103747,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,0,0.000248470373372427,30,1890.0,0.0,2110.0,75460.0,50,30,30,34,1890.0,0.0,0.6,2,1763,1,10001
4,0.004,4.0,0.001,1,0,True,0.7718429638962534,-2.825820518103746,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,0,0.7124228422583706,30,1890.0,1890.0,2220.0,111750.8,50,30,30,36,1890.0,1890.0,0.6,2,1764,1,10001
5,0.005,5.0,0.001,1,0,True,0.7718429638962534,-0.09096305610374657,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,2,0.9928372329985582,30,3780.0,3780.0,440.0,185115.78399999999,50,30,30,4,3780.0,3780.0,0.6,2,1765,1,10001
6,0.006,6.0,0.001,1,0,True,0.7718429638962534,1.5518869458962532,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,3,0.6597738306145643,16,2440.0,0.0,2440.0,181413.46831999999,50,16,16,16,2440.0,0.0,0.32,2,1766,1,10001
7,0.007,7.0,0.001,1,0,True,0.7718429638962534,1.9456386158962529,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,4,0.5294603965406149,24,4440.0,0.0,4440.0,177785.1989536,50,24,24,24,4440.0,0.0,0.48,2,1767,1,10001
8,0.008,8.0,0.001,1,0,True,0.7718429638962534,1.0330087638962533,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,3,0.9999980220208673,30,4740.0,4740.0,1700.0,269029.494974528,50,30,30,11,4740.0,4740.0,0.6,2,1768,1,10001
9,0.009000000000000001,9.000000000000002,0.001,1,0,True,0.7718429638962534,-1.1652282901037467,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,0,0.9999999850931083,30,2370.0,2370.0,1330.0,311048.9050750374,50,30,30,17,2370.0,2370.0,0.6,2,1769,1,10001
10,0.01,10.0,0.001,1,0,True,0.7718429638962534,-4.0186982641037465,36.33036844928691,-78.11690649968003,-75.47540372348217,14.348197267162321,-78.11690649968003,-78.88995725558267,-114.44727494896694,0,0.015979129984894563,30,1890.0,0.0,3330.0,304827.9269735366,50,30,30,53,1890.0,0.0,0.6,2,1770,1,10001
